Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"Data.File","file",String,1,RO,100,,,,,,,,,,"",
"Data.LastLine","lastline",String,1,RO,100,,,,,,,,,,"",
"Data.LastLineField1","lastfield1",String,1,RO,100,,,,,,,,,,"",
"Data.LastLineField2","lastfield2",String,1,RO,100,,,,,,,,,,"",
"Data.LastLineField3","lastfield3",String,1,RO,100,,,,,,,,,,"",
"Data.Line1","line1",String,1,RO,100,,,,,,,,,,"",
"Data.Line1Field1","line1field1",String,1,RO,100,,,,,,,,,,"",
"Data.Line1Field2","line1field2",String,1,RO,100,,,,,,,,,,"",
"Data.Line1Field3","line1field3",String,1,RO,100,,,,,,,,,,"",
"Data.Line2","line2",String,1,RO,100,,,,,,,,,,"",
"Data.Line2Field1","line2field1",String,1,RO,100,,,,,,,,,,"",
"Data.Line2Field2","line2field2",String,1,RO,100,,,,,,,,,,"",
"Data.Line2Field3","line2field3",String,1,RO,100,,,,,,,,,,"",
"Data.Line3","line3",String,1,RO,100,,,,,,,,,,"",
"Data.Line3Field1","line3field1",String,1,RO,100,,,,,,,,,,"",
"Data.Line3Field2","line3field2",String,1,RO,100,,,,,,,,,,"",
"Data.Line3Field3","line3field3",String,1,RO,100,,,,,,,,,,"",
"Data.LineCount","linecount",String,1,RO,100,,,,,,,,,,"",
"Internal.LoggingLevel","LoggingLevel",Word,1,R/W,100,,,,,,,,,,"",
